player_name,player_id,,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Devin Cannady,cannade01,2022,300,145,0.204553105,-6.693157324,-6.488604219,1.871808546,-0.250439506,1.62136904,0.653400752,-5.735580524,-5.082179772,-0.17267099,-0.17267099,0,0.492242048,-3.197652184,-2.705410137,0.080371655
Clint Capela,capelca01,2022,4341,2082,-0.205323753,2.711966994,2.506643241,3.887506242,-1.404970925,2.482535317,0.591462154,2.062167469,2.653629623,5.706263551,5.693425074,0.012838477,0.495715201,2.13013693,2.625852131,-0.490348842
Vernon Carey Jr.,careyve01,2022,96,44,-3.604742534,3.473001678,-0.131740855,-12.76584409,-14.60202533,-27.36786942,-5.728954983,-0.031555068,-5.760510051,-0.067270263,-0.067270263,0,-5.532317915,-0.725934638,-6.258252552,0.980639477
Jevon Carter,carteje01,2022,2190,1031,-1.572830021,-1.247373168,-2.820203189,-1.197067,0.777600596,-0.419466405,-1.605088282,-0.908845838,-2.513934121,0.113563058,-0.284121944,0.397685001,-1.416969723,-1.499037805,-2.916007528,-0.4523908
Wendell Carter Jr.,cartewe01,2022,3873,1852,-0.900816322,0.83330351,-0.067512812,0.711727883,3.420322954,4.132050837,-0.515273799,1.442330882,0.927057083,3.488158076,3.488158076,0,-1.38825176,1.310519808,-0.077731952,0.395535025
Alex Caruso,carusal01,2022,2613,1260,0.721068167,4.25605415,4.977122317,-1.302827679,6.446431696,5.143604016,0.355837349,4.991965676,5.347803025,5.224073629,4.618216268,0.605857362,0.467913952,5.260975895,5.728889847,0.07078509
Willie Cauley-Stein,caulewi01,2022,390,183,-4.743269909,-5.669307105,-10.41257701,-2.819071811,7.579928258,4.760856447,-4.637130445,-3.300867572,-7.937998016,-0.485456135,-0.485456135,0,-4.550191195,-2.509849508,-7.060040704,0.019889399
Ahmad Caver,caverah01,2022,3,1,1.31484204,6.717295126,8.032137166,26.0999637,9.507083646,35.60704735,6.582421187,7.733171556,14.31559274,0.008523612,0.008523612,0,7.343254132,0.593976913,7.937231044,-2.104761812
Justin Champagnie,champju01,2022,581,281,0.269794668,-1.157629381,-0.887834713,4.112112038,1.191864466,5.303976504,1.054443307,-0.766591255,0.287852051,0.433669856,0.433669856,0,0.462106236,-0.790627667,-0.328521431,-0.42603772
Zylan Cheatham,cheatzy01,2022,11,5,-26.60162832,-3.619742965,-30.22137129,-57.14195772,-13.1488555,-70.29081322,-34.62837623,-5.797543194,-40.42591943,-0.09665345,-0.09665345,0,-21.87832401,-6.67190768,-28.55023169,0.564132663
Chris Chiozza,chiozch01,2022,754,372,-4.053517279,-1.255161425,-5.308678704,-5.595327246,-2.072477678,-7.667804924,-4.626813079,-1.577669234,-6.204482312,-0.653378823,-0.653378823,0,-3.638777576,-0.767272207,-4.406049783,-0.345103207
Josh Christopher,chrisjo01,2022,2851,1334,-1.378750009,-2.471854277,-3.850604286,-1.041635656,-3.360303466,-4.401939122,-1.326704847,-2.724527744,-4.051232591,-0.889284473,-0.889284473,0,-1.719985104,-3.125540883,-4.845525987,0.412908045
Marquese Chriss,chrisma01,2022,788,376,-3.460782647,-3.514242038,-6.975024685,-3.506864919,-0.13429235,-3.641157269,-3.712656312,-3.081899275,-6.794555587,-0.775342681,-0.632543221,-0.14279946,-3.624141281,-2.36036016,-5.984501441,0.295936749
